steps,rewards,times
0,-45.0,2023-05-05 22:33:46.748844
45000,-45.0,2023-05-05 23:58:20.174693
90000,-45.0,2023-05-06 01:38:58.498174
135000,-50.0,2023-05-06 03:20:07.165343
180000,-45.0,2023-05-06 05:01:35.302432
225000,-45.0,2023-05-06 06:43:22.699053
270000,-50.0,2023-05-06 08:25:30.673840
315000,-45.0,2023-05-06 10:08:00.826658
360000,-50.0,2023-05-06 11:50:51.566909
405000,-45.0,2023-05-06 13:33:39.315011
450000,-45.0,2023-05-06 15:16:46.425001
495000,-50.0,2023-05-06 17:00:08.467830
540000,-50.0,2023-05-06 18:43:55.157943
585000,-45.0,2023-05-06 20:27:59.722205
630000,-45.0,2023-05-06 22:12:32.684833
675000,-45.0,2023-05-06 23:57:39.763871
720000,-30.3,2023-05-07 01:43:06.675280
765000,-50.0,2023-05-07 03:28:55.357872
810000,-45.0,2023-05-07 05:15:07.791800
855000,-45.5,2023-05-07 07:01:39.226260
900000,-50.0,2023-05-07 08:48:30.121180
945000,-48.4,2023-05-07 10:36:55.307995
990000,-40.0,2023-05-07 12:26:01.372368
1035000,-39.9,2023-05-07 14:16:45.862005
1080000,-45.0,2023-05-07 16:07:45.246103
1125000,-40.0,2023-05-07 17:58:48.967177
1170000,-40.0,2023-05-07 19:49:50.825832
1215000,-46.7,2023-05-07 21:40:55.078026
1260000,-50.0,2023-05-07 23:31:07.381181
1305000,-50.0,2023-05-08 01:20:35.422565
1350000,-46.4,2023-05-08 03:10:46.127847
1395000,-45.0,2023-05-08 05:01:46.291120
1440000,-40.6,2023-05-08 06:52:42.618530
1485000,-35.2,2023-05-08 08:43:32.146409
1530000,-36.0,2023-05-08 10:34:27.322560
1575000,-50.0,2023-05-08 12:25:43.620664
1620000,-48.8,2023-05-08 14:16:19.814818
1665000,-45.2,2023-05-08 16:06:10.817218
1710000,-37.6,2023-05-08 17:58:38.187779
1755000,-40.8,2023-05-08 19:49:27.622989
1800000,-31.4,2023-05-08 21:40:21.684313